commit	val_bpb	compressed_mb	status	description
61a2411	2.1945	7.4	keep	baseline: 9L 512D 8H 4KV 2xMLP
f589557	4.5372	9.9	discard	depth recurrence 3x3 1536D - too large and slow (52 steps) LRs not tuned
ecceb85	2.5678	9.4	discard	wider 7L 768D 12H 4KV - 176 steps not enough to converge
07f9950	2.2753	8.8	discard	MLP 3x - 222 steps slightly fewer than baseline 244
8bbfabd	2.0987	8.1	keep	matrix LR 0.04->0.06 IMPROVEMENT
f817a78	2.0511	8.5	keep	matrix LR 0.06->0.08 IMPROVEMENT
ad4b836	2.0249	8.9	keep	matrix LR 0.08->0.10 IMPROVEMENT
0d7080a	2.0085	9.3	keep	matrix LR 0.10->0.12 IMPROVEMENT
07c2673	1.9872	9.8	keep	matrix LR 0.12->0.16 IMPROVEMENT
d6772d3	1.9791	10.3	keep	matrix LR 0.16->0.20 IMPROVEMENT (diminishing returns)
a7e03f3	1.9728	10.7	keep	matrix LR 0.20->0.24 IMPROVEMENT (plateau reached)
# SUMMARY 1-10: LR sweep 0.04->0.24 improved BPB from 2.19 to 1.97.
23c7d1b	2.0003	10.7	discard	embed LR 0.05->0.10 - worse
b75db5c	1.9794	10.6	discard	scalar LR 0.04->0.08 - no improvement
48e4666	1.9546	10.6	keep	remove U-Net skip connections IMPROVEMENT
493ecf9	1.9498	10.6	keep	remove resid_mix and x0 (simplify Block) IMPROVEMENT
cf1ffb6	2.0810	12.7	discard	12 layers - too slow 141 steps
b3725f8	0.0000	0.0	crash	MLP 4x - eval interrupted by power loss (only 113 steps - too slow)
d5b34a3	2.1587	9.2	discard	KV heads 4->2 - quality degraded significantly
cc35e3d	1.9613	10.5	discard	logit softcap 30->15 - slightly worse
3af8060	2.1212	8.7	discard	batch 32K->65K - only 127 steps not enough
# SUMMARY 11-19: Simplification wins. Batch 32K sweet spot. Step count is key constraint.
66a9679	1.9687	12.7	discard	batch 16K grad_accum=2 - 465 steps but too noisy
35b105c	1.9400	10.5	keep	plain ReLU instead of ReLU^2 IMPROVEMENT
66541e3	1.9525	10.6	discard	GELU - slightly worse than ReLU
22ebc53	1.9626	13.2	discard	SwiGLU - slower (220 steps) extra params not worth it
23118dc	1.9443	10.6	keep	remove attn_scale/mlp_scale IMPROVEMENT (simpler is better)
85347d0	1.9650	10.6	discard	remove q_gain - it was actually helping
70c6fb5	1.9352	10.5	keep	q_gain init 1.5->2.5 IMPROVEMENT
18a3db8	1.9006	10.9	keep	sliding window eval (stride=512) + FP16 embedding IMPROVEMENT
9f1cdfa	1.9023	10.8	discard	Muon weight decay 0.02 - no improvement at 250 steps
b45112b	1.9085	10.9	discard	stride 512->256 - slightly worse (less val coverage)
# SUMMARY 20-29: Best=1.901. SW eval + FP16 embed big win. Activation/init tuning minor.
37e7d1d	1.9604	11.7	discard	10 layers - slower steps (227 vs 250)
5ee983b	1.9068	11.3	discard	matrix LR 0.24->0.30 - marginal regression
d19aed4	2.0084	9.6	discard	Muon NS 5->3 - degraded update quality significantly
fe27c88	2.1161	14.7	discard	warmdown 1200->200 - LR stays too high too long
2135d13	1.9719	9.7	discard	warmdown 1200->2400 - LR decays too fast
266cca7	2.0015	11.0	discard	overtone spectral embed init - hurt convergence
